subj,trial,block,sex,age,date,stim,stim_order,param_index,filter_freq,filter_gain,response,rt
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,15,4952.33712269,-3.38100725,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,16,5796.85824570,4.56091030,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,17,6767.56008152,3.36088848,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,18,7883.29541175,-3.68645277,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,19,9165.73383021,2.35947015,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,20,10639.78260555,-3.59891182,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,21,12334.07042541,-3.18148417,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,22,14281.50341712,2.48155897,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,23,16519.90424416,3.01790210,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,24,19092.74669051,2.72155416,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0048.eq.wav,0,25,22050.00000000,3.84591396,True,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,0,0.00000000,4.28010432,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,1,104.58767290,3.41044192,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,2,224.80189054,-2.82309944,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,3,362.97743001,-0.07195946,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,4,521.79790965,-4.24591408,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,5,704.34790983,-1.44081162,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,6,914.17288101,-1.03637800,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,7,1155.34800284,0.21908965,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,8,1432.55733147,-2.28343129,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,9,1751.18477235,-3.07516966,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,10,2117.41864548,2.81464466,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,11,2538.37187364,-1.80009627,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,12,3022.22012828,0.46659674,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,13,3578.36061576,-2.87402282,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,14,4217.59458808,1.65169813,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,15,4952.33712269,2.17558227,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,16,5796.85824570,-3.68397529,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,17,6767.56008152,2.14252534,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,18,7883.29541175,-4.81650877,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,19,9165.73383021,2.22166820,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,20,10639.78260555,1.00411465,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,21,12334.07042541,1.62760917,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,22,14281.50341712,0.19809166,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,23,16519.90424416,-1.79495078,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,24,19092.74669051,3.34689995,False,262
100,2,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0012.eq.wav,1,25,22050.00000000,-1.46213408,False,262
100,3,1,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0056.eq.wav,0,0,0.00000000,2.33971034,True,211
100,3,1,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0056.eq.wav,0,1,104.58767290,-1.75363780,True,211
100,3,1,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0056.eq.wav,0,2,224.80189054,-3.21923749,True,211
100,3,1,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0056.eq.wav,0,3,362.97743001,1.98288538,True,211
100,3,1,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0056.eq.wav,0,4,521.79790965,-1.64226637,True,211
100,3,1,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0056.eq.wav,0,5,704.34790983,3.88486586,True,211
